date,state,notes
2020-06-07,AC,
2020-06-07,AC,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,AL,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-06-07,AL,
2020-06-07,AM,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,AM,"Os seguintes municípios não enviaram dados à SES:
Itacoatiara
Santo Antônio do Içá
Careiro
São Paulo de Olivença
Boca do Acre
Tapauá
Alvarães
Tonantins
Carauari
Uarini
Atalaia do Norte
Jutaí
Maraã
Pauini
Santa Isabel do Rio Negro
Apuí
Itamarati"
2020-06-07,AP,
2020-06-07,BA,
2020-06-07,CE,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,DF,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,ES,
2020-06-07,ES,
2020-06-07,GO,
2020-06-07,GO,
2020-06-07,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-07,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-06-07,MA,
2020-06-07,MG,
2020-06-07,MG,"Houve redução no número de casos nos seguintes municípios:

Arcos: de 26 para 25 casos
Barbacena: de 303 para 301 casos
Campo Belo: de 12 para 11 casos
Divinópolis: de 229 para 224 casos
Fervedouro: de 5 para 4 casos
Itapecerica: de 16 para 15 casos
Ituiutaba: de 25 para 23 casos"
2020-06-07,MT,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,MT,
2020-06-07,PA,"Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 07/06/2020 às 13:27h
Atualizado em 07/06/2020 às 13:27h"
2020-06-07,PB,
2020-06-07,PE,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,PI,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,PI,
2020-06-07,PR,Dados totais coletados da Secretaria Estadual de Saúde
2020-06-07,RJ,
2020-06-07,RO,"Após investigação epidemiológica foi constatado um registro a mais para o município de Costa Marques, que possui seis casos confirmados e não sete. Da mesma forma para o município de Seringueiras, que possui até o momento um caso confirmado e não dois. Os casos pertencem a outros municípios e os dados já foram ajustados no sistema. Estatisticamente deve-se considerar que há dois casos a mais na edição anterior.
Hoje (7) foram confirmados sete óbitos por Covid-19 em Rondônia, quatro em Porto Velho, sendo uma mulher de 63 anos e três homens (40, 73 e 82 anos de idade), dois homens de Guajará-Mirim (47 e 63 anos) e um homem de 46 anos de idade do município de Alto Alegre dos Parecis)."
